pnu,sgg_nm,emd_nm,jibun,jimok,area_m2,price_per_m2,owner_type,owner_subtype
1168010800102050007,강남구,논현동,205-7공,공원,1879.7,3373000,국유지,중앙부처
1168011400200630033,강남구,일원동,산63-33임,임야,1200,88500,시 도유지,지자체
1168010100108300023,강남구,역삼동,830-23공,공원,991.5,4992000,군유지,구분없음
1168010400100940004,강남구,청담동,94-4공,공원,1643.8,3107000,군유지,구분없음
1168011400106450014,강남구,일원동,645-14공,공원,2410.3,2313000,시 도유지,지자체
1168011400106580000,강남구,일원동,658공,공원,1613.8,2188000,군유지,구분없음
1168011400106660011,강남구,일원동,666-11공,공원,1978.5,2313000,시 도유지,지자체
1168010300101690003,강남구,개포동,169-3공,공원,1690.2,2240000,시 도유지,지자체
1168011400200630035,강남구,일원동,산63-35임,임야,833,97600,개인,구분없음
1168011400106870008,강남구,일원동,687-8공,공원,1337.1,2313000,시 도유지,지자체
1168010100106330013,강남구,역삼동,633-13공,공원,858.8,2661000,시 도유지,지자체
1168010100106350000,강남구,역삼동,635공,공원,13025.1,5566000,군유지,구분없음
1168010100106350001,강남구,역삼동,635-1공,공원,20091,6057000,군유지,구분없음
1168010300101180053,강남구,개포동,118-53전,전,21,1752000,국유지,중앙부처
1168010300105880002,강남구,개포동,588-2답,답,8,3718000,법인,구분없음
1168010600105980006,강남구,대치동,598-6공,공원,9.4,0,군유지,구분없음
1168010100106110000,강남구,역삼동,611공,공원,1647.1,2889000,군유지,구분없음
1168010100106630019,강남구,역삼동,663-19대,대,581.1,2937000,군유지,구분없음
1168010100106630020,강남구,역삼동,663-20대,대,603,2937000,군유지,구분없음
1168010100106660002,강남구,역삼동,666-2대,대,1537.7,2834000,군유지,구분없음
1168010100107110005,강남구,역삼동,711-5공,공원,576,6491000,군유지,구분없음
1168010100107130015,강남구,역삼동,713-15공,공원,1225.5,6293000,군유지,구분없음
1168010100107130016,강남구,역삼동,713-16공,공원,763.3,6293000,군유지,구분없음
1168010100107160005,강남구,역삼동,716-5공,공원,650,6491000,군유지,구분없음
1168010100107390015,강남구,역삼동,739-15공,공원,1635,3091000,군유지,구분없음
1168010100107540004,강남구,역삼동,754-4공,공원,1147.7,6491000,군유지,구분없음
1168010100107540007,강남구,역삼동,754-7공,공원,1038,6491000,군유지,구분없음
1168010100107540008,강남구,역삼동,754-8공,공원,72.8,6491000,군유지,구분없음
1168010100107550007,강남구,역삼동,755-7공,공원,1293.6,6491000,군유지,구분없음
1168010100107550009,강남구,역삼동,755-9공,공원,772.1,6491000,군유지,구분없음
