category,address,jimok,area_m2,price_per_m2,park_name,pnu,what_to_look_for
일본인_창씨명등,서울특별시 강서구 마곡동 97-17,도로,18,318300,광장,1150010500100970017,갑구 원시 등기명의(한자/일본명)·소유권보존등기 일자
종중,서울특별시 중랑구 망우동 산69-1,임야,224661,155500,공원,—,종중 명칭·대표자·등록기준지(망우리 인근)
종중,서울특별시 금천구 시흥동 산126-1,임야,147250,197600,도시자연공원,—,종중 명칭·면적 vs 등기부 상 면적 일치 여부
종교단체,서울특별시 금천구 시흥동 산6-7,임야,231674,29600,도시자연공원,—,종교법인명·취득시기·저당권 유무
종교단체,서울특별시 서초구 방배동 산92-15,임야,109509,108700,공원,—,단체명·근저당 설정 여부 (개발압력 추정)
법인,서울특별시 노원구 중계동 산101-1,임야,883250,13100,도시자연공원,—,법인명(상속·신탁·재단인지)·가압류·매매이력
법인,서울특별시 관악구 봉천동 산4-9,임야,640784,21500,도시자연공원,—,법인명·근저당
법인,서울특별시 관악구 신림동 산57-13,임야,514867,95000,도시자연공원,—,법인명·근저당
개인_고가,서울특별시 강남구 대치동 1020-1,대,2191,22250000,근린공원,—,소유자·공유지분 여부·근저당
개인_대형,서울특별시 관악구 신림동 산29,임야,438044,53600,도시자연공원,—,단독/공유·승계이력
외국인,서울특별시 강서구 개화동 산2-1,임야,14834,105400,꿩고개공원,—,국적·취득경위
외국인,서울특별시 서대문구 홍은동 산11-275,임야,7204,945500,근린공원,—,국적·취득경위
